Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,4.940000,5.060000,4.910000,4.910000,4.910000,0
1996-02-01,4.910000,4.910000,4.750000,4.880000,4.880000,0
1996-03-01,4.860000,5.060000,4.840000,5.000000,5.000000,0
1996-04-01,4.990000,5.040000,4.810000,5.010000,5.010000,0
1996-05-01,5.000000,5.060000,4.960000,5.040000,5.040000,0
1996-06-01,5.050000,5.150000,5.020000,5.030000,5.030000,0
1996-07-01,5.040000,5.230000,5.040000,5.180000,5.180000,0
1996-08-01,5.160000,5.180000,4.990000,5.140000,5.140000,0
1996-09-01,5.190000,5.290000,4.850000,4.910000,4.910000,0
1996-10-01,5.010000,5.040000,4.830000,5.010000,5.010000,0
1996-11-01,5.010000,5.040000,4.990000,4.990000,4.990000,0
1996-12-01,5.000000,5.070000,4.770000,5.050000,5.050000,0
1997-01-01,5.050000,5.060000,4.980000,5.010000,5.010000,0
1997-02-01,5.010000,5.080000,4.940000,5.070000,5.070000,0
1997-03-01,5.090000,5.270000,5.030000,5.170000,5.170000,0
1997-04-01,5.180000,5.200000,5.080000,5.100000,5.100000,0
1997-05-01,5.100000,5.270000,4.790000,4.820000,4.820000,0
1997-06-01,4.810000,5.050000,4.780000,5.050000,5.050000,0
1997-07-01,5.110000,5.130000,4.920000,5.100000,5.100000,0
1997-08-01,5.080000,5.190000,5.050000,5.090000,5.090000,0
1997-09-01,5.090000,5.090000,4.730000,4.970000,4.970000,0
1997-10-01,4.960000,5.120000,4.840000,5.060000,5.060000,0
1997-11-01,5.080000,5.200000,5.060000,5.060000,5.060000,0
1997-12-01,5.070000,5.370000,5.000000,5.200000,5.200000,0
1998-01-01,5.200000,5.210000,4.800000,5.040000,5.040000,0
1998-02-01,5.060000,5.200000,4.970000,5.180000,5.180000,0
1998-03-01,5.180000,5.190000,4.930000,4.990000,4.990000,0
1998-04-01,4.990000,5.070000,4.850000,4.850000,4.850000,0
1998-05-01,4.860000,5.100000,4.830000,4.890000,4.890000,0
1998-06-01,4.880000,5.100000,4.840000,4.970000,4.970000,0
1998-07-01,4.960000,5.020000,4.900000,4.950000,4.950000,0
1998-08-01,4.950000,4.980000,4.740000,4.760000,4.760000,0
1998-09-01,4.800000,4.800000,4.230000,4.250000,4.250000,0
1998-10-01,4.230000,4.290000,3.530000,4.210000,4.210000,0
1998-11-01,4.230000,4.580000,4.230000,4.420000,4.420000,0
1998-12-01,4.400000,4.500000,4.290000,4.350000,4.350000,0
1999-01-01,4.350000,4.420000,4.180000,4.360000,4.360000,0
1999-02-01,4.380000,4.550000,4.350000,4.550000,4.550000,0
1999-03-01,4.550000,4.580000,4.350000,4.360000,4.360000,0
1999-04-01,4.370000,4.430000,4.150000,4.430000,4.430000,0
1999-05-01,4.430000,4.570000,4.430000,4.510000,4.510000,0
1999-06-01,4.530000,4.760000,4.390000,4.670000,4.670000,0
1999-07-01,4.640000,4.670000,4.430000,4.620000,4.620000,0
1999-08-01,4.620000,4.870000,4.550000,4.850000,4.850000,0
1999-09-01,4.830000,4.830000,4.540000,4.710000,4.710000,0
1999-10-01,4.730000,5.010000,4.650000,4.960000,4.960000,0
1999-11-01,4.970000,5.180000,4.930000,5.150000,5.150000,0
1999-12-01,5.150000,5.440000,4.970000,5.170000,5.170000,0
2000-01-01,5.230000,5.530000,5.200000,5.530000,5.530000,0
2000-02-01,5.560000,5.680000,5.400000,5.640000,5.640000,0
2000-03-01,5.610000,5.780000,5.590000,5.720000,5.720000,0
2000-04-01,5.710000,5.740000,5.570000,5.650000,5.650000,0
2000-05-01,5.670000,6.050000,5.490000,5.490000,5.490000,0
2000-06-01,5.430000,5.850000,5.410000,5.700000,5.700000,0
2000-07-01,5.710000,6.040000,5.710000,6.020000,6.020000,0
2000-08-01,6.070000,6.140000,5.980000,6.110000,6.110000,0
2000-09-01,6.110000,6.110000,5.880000,6.030000,6.030000,0
2000-10-01,6.030000,6.180000,5.950000,6.150000,6.150000,0
2000-11-01,6.170000,6.230000,6.000000,6.010000,6.010000,0
2000-12-01,6.050000,6.050000,5.090000,5.730000,5.730000,0
2001-01-01,5.710000,5.760000,4.820000,4.840000,4.840000,0
2001-02-01,4.830000,4.950000,4.620000,4.720000,4.720000,0
2001-03-01,4.700000,4.750000,4.130000,4.180000,4.180000,0
2001-04-01,4.170000,4.190000,3.590000,3.830000,3.830000,0
2001-05-01,3.770000,3.820000,3.470000,3.540000,3.540000,0
2001-06-01,3.530000,3.600000,3.330000,3.560000,3.560000,0
2001-07-01,3.630000,3.630000,3.420000,3.440000,3.440000,0
2001-08-01,3.450000,3.460000,3.270000,3.280000,3.280000,0
2001-09-01,3.280000,3.380000,2.140000,2.300000,2.300000,0
2001-10-01,2.310000,2.340000,1.980000,2.010000,2.010000,0
2001-11-01,1.990000,2.040000,1.730000,1.730000,1.730000,0
2001-12-01,1.730000,1.750000,1.600000,1.670000,1.670000,0
2002-01-01,1.700000,1.730000,1.540000,1.720000,1.720000,0
2002-02-01,1.730000,1.750000,1.660000,1.720000,1.720000,0
2002-03-01,1.730000,1.830000,1.730000,1.740000,1.740000,0
2002-04-01,1.750000,1.780000,1.650000,1.730000,1.730000,0
2002-05-01,1.730000,1.800000,1.687000,1.705000,1.705000,0
2002-06-01,1.702000,1.723000,1.625000,1.659000,1.659000,0
2002-07-01,1.657000,1.697000,1.572000,1.665000,1.665000,0
2002-08-01,1.667000,1.667000,1.557000,1.645000,1.645000,0
2002-09-01,1.632000,1.670000,1.527000,1.527000,1.527000,0
2002-10-01,1.532000,1.662000,1.407000,1.417000,1.417000,0
2002-11-01,1.412000,1.427000,1.182000,1.202000,1.202000,0
2002-12-01,1.212000,1.217000,1.132000,1.182000,1.182000,0
2003-01-01,1.187000,1.197000,1.126000,1.148000,1.148000,0
2003-02-01,1.150000,1.187000,1.137000,1.175000,1.175000,0
2003-03-01,1.175000,1.177000,1.030000,1.090000,1.090000,0
2003-04-01,1.097000,1.162000,1.082000,1.101000,1.101000,0
2003-05-01,1.097000,1.111000,0.981000,1.085000,1.085000,0
2003-06-01,1.087000,1.104000,0.774000,0.838000,0.838000,0
2003-07-01,0.882000,0.962000,0.834000,0.927000,0.927000,0
2003-08-01,0.930000,0.977000,0.895000,0.960000,0.960000,0
2003-09-01,0.958000,0.964000,0.912000,0.926000,0.926000,0
2003-10-01,0.910000,0.949000,0.873000,0.932000,0.932000,0
2003-11-01,0.931000,0.942000,0.905000,0.908000,0.908000,0
2003-12-01,0.912000,0.921000,0.833000,0.907000,0.907000,0
2004-01-01,0.907000,0.917000,0.841000,0.897000,0.897000,0
2004-02-01,0.901000,0.943000,0.897000,0.927000,0.927000,0
2004-03-01,0.932000,0.948000,0.912000,0.923000,0.923000,0
2004-04-01,0.922000,1.002000,0.912000,0.952000,0.952000,0
2004-05-01,0.954000,1.057000,0.952000,1.052000,1.052000,0
2004-06-01,1.054000,1.387000,1.053000,1.303000,1.303000,0
2004-07-01,1.270000,1.445000,1.176000,1.412000,1.412000,0
2004-08-01,1.400000,1.577000,1.372000,1.568000,1.568000,0
2004-09-01,1.562000,1.703000,1.547000,1.674000,1.674000,0
2004-10-01,1.668000,1.877000,1.648000,1.867000,1.867000,0
2004-11-01,1.870000,2.188000,1.870000,2.182000,2.182000,0
2004-12-01,2.172000,2.267000,2.142000,2.182000,2.182000,0
2005-01-01,2.199000,2.427000,2.197000,2.422000,2.422000,315900
2005-02-01,2.457000,2.703000,2.422000,2.690000,2.690000,2959200
2005-03-01,2.697000,2.818000,2.672000,2.722000,2.722000,2008200
2005-04-01,2.727000,2.872000,2.683000,2.837000,2.837000,631600
2005-05-01,2.837000,2.895000,2.711000,2.882000,2.882000,474000
2005-06-01,2.907000,3.083000,2.882000,3.060000,3.060000,158000
2005-07-01,3.060000,3.359000,3.058000,3.332000,3.332000,473700
2005-08-01,3.335000,3.507000,3.335000,3.430000,3.430000,0
2005-09-01,3.428000,3.555000,3.298000,3.470000,3.470000,0
2005-10-01,3.475000,3.847000,3.360000,3.805000,3.805000,0
2005-11-01,3.865000,3.930000,3.820000,3.857000,3.857000,0
2005-12-01,3.852000,4.015000,3.397000,3.985000,3.985000,0
2006-01-01,4.025000,4.375000,4.005000,4.370000,4.370000,0
2006-02-01,4.352000,4.512000,4.340000,4.507000,4.507000,0
2006-03-01,4.497000,4.582000,4.242000,4.515000,4.515000,0
2006-04-01,4.515000,4.690000,4.502000,4.650000,4.650000,0
